dept_no,emp_no,last_name,first_name,dept_name
d001,12844,Piancastelli,Garnet,Marketing
d001,12850,Bergere,Martina,Marketing
d001,12903,Salverda,Radhika,Marketing
d001,12906,Khalid,Zdislav,Marketing
d001,12937,Cincotta,Arup,Marketing
d001,12938,Picht,Raimond,Marketing
d001,12946,Antonakopoulos,Shim,Marketing
d001,12951,Keirsey,Mohammad,Marketing
d001,12973,Pulkowski,Hairong,Marketing
d001,13015,Ozeri,Nikolaus,Marketing
d001,13020,Suppi,Shigeichiro,Marketing
d001,13030,Kroll,Yahiko,Marketing
d001,13041,Zucker,Kazuhide,Marketing
d001,13050,Henders,Nikolaus,Marketing
d001,13058,Jumpertz,Deborah,Marketing
d001,13063,Shokrollahi,Troy,Marketing
d001,13075,Morrin,Rosella,Marketing
d001,13078,Suppi,Genki,Marketing
d001,13088,Zweizig,Arunachalam,Marketing
d001,13092,Bergere,Kersti,Marketing
d001,13108,Matteis,Rance,Marketing
d001,13112,Pouyioutas,Hiroyasu,Marketing
d001,13129,Sigstam,Martijn,Marketing
d001,13133,Senzako,Guther,Marketing
d001,13138,Peyn,Ekawit,Marketing
d001,13157,Skogmar,Berna,Marketing
d001,13196,Velardi,Navid,Marketing
d001,13201,Ranta,Tomofumi,Marketing
d001,13210,Klassen,Jianhua,Marketing
d001,13225,Hofman,Barton,Marketing
d001,13228,Bonifati,Masali,Marketing
d001,13289,Baer,Berni,Marketing
d001,13299,Butner,Guiseppe,Marketing
d001,13300,Denis,Mountaz,Marketing
d001,13304,Wixon,Hisao,Marketing
d001,13341,Doering,Bodh,Marketing
d001,13348,Wiegley,Leaf,Marketing
d001,13364,Andreotta,Shuzo,Marketing
d001,13394,Lorys,Anneke,Marketing
d001,13411,Himler,Yonghong,Marketing
d001,13412,Erdmenger,Ranga,Marketing
d001,13448,Fiutem,Tran,Marketing
d001,13470,Muhling,Qingxiang,Marketing
d001,13487,Claffy,Geoffrey,Marketing
d001,13490,Theuretzbacher,Sadegh,Marketing
d001,13495,Ghalwash,Babette,Marketing
d001,13522,Vingron,Jaewon,Marketing
d001,13528,Liesche,Fumitaka,Marketing
d001,13554,Birke,Divine,Marketing
d001,13569,Feldmann,Mostafa,Marketing
d001,13572,Beutelspacher,Honglan,Marketing
d001,13584,Servieres,Uli,Marketing
d001,13594,Spelt,Bezalel,Marketing
d001,13611,Spell,Yefim,Marketing
d001,13615,Marrevee,Sugwoo,Marketing
d001,13625,Thiran,Muzhong,Marketing
d001,13642,Luit,Inderjeet,Marketing
d001,13668,Schurmann,Sudharsan,Marketing
d001,13682,Vanwelkenhuysen,Margo,Marketing
d001,13695,Tsukuda,Sakthirel,Marketing
d001,13717,Nilsson,Shigenori,Marketing
d001,13726,Aseltine,Nahum,Marketing
d001,13730,Kalorkoti,Munehiro,Marketing
d001,13733,Lund,Garnik,Marketing
d001,13751,Litzkow,Sasan,Marketing
d001,13776,Brookner,Marjo,Marketing
d001,13782,Iwayama,Akemi,Marketing
d001,13784,Ranst,Surveyors,Marketing
d001,13804,Nitto,Kristian,Marketing
d001,13812,Sury,Fumiko,Marketing
d001,13822,Radwan,Jianhao,Marketing
d001,13826,Greenaway,Zhigen,Marketing
d001,13844,Vural,Jianhua,Marketing
d001,13860,Papastamatiou,Wojceich,Marketing
d001,13909,Leslie,Szabolcs,Marketing
d001,13911,Jansen,Fen,Marketing
d001,13921,Soicher,Lidong,Marketing
d001,13926,Puppe,Ekawit,Marketing
d001,13963,Brookner,Aimee,Marketing
d001,13973,Reeker,Adel,Marketing
d001,13982,Vieri,Marsja,Marketing
d001,13984,Denis,Yongmao,Marketing
d001,14013,Lindenbaum,Ghassan,Marketing
d001,14017,Pavlopoulou,Candido,Marketing
d001,14041,DeMori,Shan,Marketing
d001,14071,Manderick,Tristan,Marketing
d001,14096,Baez,Sadun,Marketing
d001,14107,Rindone,Xiahua,Marketing
d001,14108,Khasidashvili,Shmuel,Marketing
d001,14110,Kisuki,Horward,Marketing
d001,14112,McDermid,Younwoo,Marketing
d001,14130,Stroustrup,Yuuichi,Marketing
d001,14137,Coors,Takahito,Marketing
d001,14170,Kropf,Houman,Marketing
d001,14177,Stille,Gino,Marketing
d001,14185,Swiler,Garnik,Marketing
d001,14189,Tsukuda,Nahla,Marketing
d001,14200,Sankaranarayanan,Masali,Marketing
d001,14208,Feinberg,Macha,Marketing
d001,14210,Poujol,Arvind,Marketing
d001,14222,Luders,Shaleah,Marketing
d001,14227,Roohalamini,Miyeon,Marketing
d001,14239,Wallrath,Martijn,Marketing
d001,14268,Vadhan,Bangqing,Marketing
d001,14269,Chiola,Avishai,Marketing
d001,14280,Viele,Djelloul,Marketing
d001,14283,Kowalchuk,Rimli,Marketing
d001,14299,Kitsuregawa,Manu,Marketing
d001,14300,Lores,Udo,Marketing
d001,14314,Fujisaki,Baziley,Marketing
d001,14315,Standera,Baocai,Marketing
d001,14333,Pettey,Alois,Marketing
d001,14336,Passafiume,Rafail,Marketing
d001,14388,Remmers,Arch,Marketing
d001,14399,Dalphin,Gopalakrishnan,Marketing
d001,14403,Christ,Stella,Marketing
d001,14421,Bharadwaj,Ekawit,Marketing
d001,14429,Koblick,Marek,Marketing
d001,14455,Sabnani,Kwangyoen,Marketing
d001,14475,Hiraishi,Mingzeng,Marketing
d001,14479,Suessmith,Thodoros,Marketing
d001,14489,Lanzelotte,Khue,Marketing
d001,14497,Molenkamp,Armond,Marketing
d001,14507,Gimbel,Tsuneo,Marketing
d001,14513,Barreiro,Samphel,Marketing
d001,14532,Docker,Duangkaew,Marketing
d001,14547,Stifter,Hongzhu,Marketing
d001,14550,Kriebel,Mechthild,Marketing
d001,14554,Bharadwaj,Quingbo,Marketing
d001,14570,Bala,Chinho,Marketing
d001,14637,Syrzycki,Aruna,Marketing
d001,14652,Jayawardene,Dannz,Marketing
d001,14655,Segond,Jingling,Marketing
d001,14660,Bugaenko,Geoffrey,Marketing
d001,14662,Maquelin,Maya,Marketing
d001,14680,Katzenelson,Martine,Marketing
d001,14688,Ullian,Ute,Marketing
d001,14710,Hainaut,Mahmut,Marketing
d001,14727,Rathonyi,Maik,Marketing
d001,14748,Shihab,Marek,Marketing
d001,14766,Gerteisen,Jaewoo,Marketing
d001,14767,Merle,Jianhua,Marketing
d001,14796,Chepyzhov,Huan,Marketing
d001,14820,Bratsberg,Poornachandra,Marketing
d001,14836,Paludetto,Chiradeep,Marketing
d001,14881,Mateescu,Demos,Marketing
d001,14883,Crabtree,Mohd,Marketing
d001,14887,Borovoy,Gor,Marketing
d001,14889,Solovay,Subhash,Marketing
d001,14916,Narlikar,Fumino,Marketing
d001,14922,Reinhart,Bluma,Marketing
d001,14935,Kaltofen,Francoise,Marketing
d001,14958,Beausoleil,Prasadram,Marketing
d001,14983,Pouyioutas,Hyuckchul,Marketing
d001,15018,Prenel,Ramalingam,Marketing
d001,15091,DuCasse,Troy,Marketing
d001,15094,Bottner,Seongbae,Marketing
d001,15095,Hofmeyr,Ziya,Marketing
d001,15105,Itzigehl,Sudhanshu,Marketing
d001,15128,Hofstetter,Kiyokazu,Marketing
d001,15131,Speckmann,Mabhin,Marketing
d001,15151,Pouyioutas,Urs,Marketing
d001,15157,Ramras,Eckart,Marketing
d001,15170,Bale,Mana,Marketing
d001,15171,Acton,Brigham,Marketing
d001,15174,Salinas,Otilia,Marketing
d001,15183,Whitcomb,Vasiliy,Marketing
d001,15216,Wiegley,Zhenhua,Marketing
d001,15217,Porenta,Jianhua,Marketing
d001,15242,Strehl,Kasturi,Marketing
d001,15247,Mungall,Ugo,Marketing
d001,15248,Baar,Edwin,Marketing
d001,15273,Clemencon,Kwangsub,Marketing
d001,15279,Stasinski,Foong,Marketing
d001,15310,Chinin,Parviz,Marketing
d001,15338,Wilfing,Caolyn,Marketing
d001,15341,Farrow,Shigehiro,Marketing
d001,15350,Petersohn,Uwe,Marketing
d001,15351,Biros,Saniya,Marketing
d001,15360,Neiman,Xianlong,Marketing
d001,15373,Stanger,Pascal,Marketing
d001,15386,Sambasivam,Genki,Marketing
d001,15410,Kushner,Wilmer,Marketing
d001,15416,Savasere,Toshiki,Marketing
d001,15449,Kropf,Yinghua,Marketing
d001,15473,Rikino,Nathan,Marketing
d001,15481,Wixon,Barun,Marketing
d001,15483,Godskesen,Danel,Marketing
d001,15544,Molenkamp,Wilmer,Marketing
d001,15549,Cromarty,Heping,Marketing
d001,15558,Pehl,Aron,Marketing
d001,15565,Muchinsky,TRUE,Marketing
d001,15580,Kusalik,Stepehn,Marketing
d001,15593,Gips,Jaihie,Marketing
d001,15602,Picel,Annemarie,Marketing
d001,15629,Takkinen,Kensei,Marketing
d001,15633,Matteis,Mikhail,Marketing
d001,15635,Muhling,Chinya,Marketing
d001,15645,Anido,Mingsen,Marketing
d001,15653,Nannarelli,Kiam,Marketing
d001,15655,Tempesti,Hercules,Marketing
d001,15656,Schaaf,Mohammad,Marketing
d001,15658,Emden,Luise,Marketing
d001,15667,Flasterstein,Isamu,Marketing
d001,15701,Prenel,Ult,Marketing
d001,15715,Ibel,Insup,Marketing
d001,15717,Rabehasaina,Yuchang,Marketing
d001,15726,Parascandalo,Zhilian,Marketing
d001,15759,Knightly,Arie,Marketing
d001,15763,Narahari,Barun,Marketing
d001,15769,Oskamp,Pranay,Marketing
d001,15775,Scallan,Gurbir,Marketing
d001,15784,Bernatsky,Gen,Marketing
d001,15789,Veeraraghavan,Elgin,Marketing
d001,15793,Delgrossi,Yannik,Marketing
d001,15819,Rajcani,Magdalena,Marketing
d001,15859,Hennings,Godehard,Marketing
d001,15861,Anido,Gio,Marketing
d001,15882,Bazelow,Gao,Marketing
d001,15898,Bail,Zengping,Marketing
d001,15921,Manderick,Ziyad,Marketing
d001,15929,Baak,Mingdong,Marketing
d001,15932,Angelopoulos,Zijian,Marketing
d001,15936,Perz,Boriana,Marketing
d001,15956,Matzen,Elvia,Marketing
d001,15974,Nollmann,Ulises,Marketing
d001,16004,Hellwagner,Mabry,Marketing
d001,16012,Adachi,Yechezkel,Marketing
d001,16013,Solares,Chanjung,Marketing
d001,16020,Chiola,Wuxu,Marketing
d001,16030,Hiroyama,Pranas,Marketing
d001,16042,Shrader,Siddarth,Marketing
d001,16050,Marrevee,Khedija,Marketing
d001,16058,Pettis,Honglan,Marketing
d001,16120,Harllee,Domenico,Marketing
d001,16129,Domenig,Arnould,Marketing
d001,16138,Krzyzanowski,Leucio,Marketing
d001,16152,Zuberek,Ewing,Marketing
d001,16173,Ranka,Adhemar,Marketing
d001,16177,Usdin,Masako,Marketing
d001,16228,Thambidurai,Lein,Marketing
d001,16238,Kopetz,Takahiro,Marketing
d001,16239,Kilgore,Guangming,Marketing
d001,16243,Taneja,Flemming,Marketing
d001,16258,Rahier,Taiji,Marketing
d001,16259,Wolniewicz,Lidong,Marketing
d001,16281,Gustavson,Lenore,Marketing
d001,16333,Flanders,Kazunori,Marketing
d001,16356,Woycyznski,Sibyl,Marketing
d001,16371,Danlos,Duri,Marketing
d001,16389,Sadowsky,Kwangjo,Marketing
d001,16423,Belinskaya,Tremaine,Marketing
d001,16428,Chinin,Arun,Marketing
d001,16437,Nyrup,Val,Marketing
d001,16444,Tomescu,Khatoun,Marketing
d001,16481,Rothe,Tadahiko,Marketing
d001,16493,Cooley,Rafols,Marketing
d001,16512,Aloia,Huei,Marketing
d001,16522,Luks,Jongsuk,Marketing
d001,16529,Staudhammer,Heon,Marketing
d001,16531,Ponthieu,Shounak,Marketing
d001,16585,Stentiford,Renny,Marketing
d001,16587,Yetto,Gao,Marketing
d001,16602,Hinsberger,Zorica,Marketing
d001,16606,Erev,Eirik,Marketing
d001,16609,Ventosa,Boriana,Marketing
d001,16638,Rouquie,Masanao,Marketing
d001,16659,Yurov,Subhash,Marketing
d001,16665,Zumaque,Zhilian,Marketing
d001,16702,Feldmann,Gal,Marketing
d001,16704,Coors,Mohan,Marketing
d001,16756,Harnett,Charlene,Marketing
d001,16760,Godskesen,Giap,Marketing
d001,16761,Vrecion,Ziva,Marketing
d001,16779,Vandervoorde,Shooichi,Marketing
d001,16802,Bahk,Ymte,Marketing
d001,16822,Spell,Shen,Marketing
d001,16848,Schahn,Sajjan,Marketing
d001,16873,Wrigley,Gunilla,Marketing
d001,16874,Asmuth,Arunas,Marketing
d001,16878,Kornyak,Toshiko,Marketing
d001,16882,Danecki,Tetsurou,Marketing
d001,16883,Kusalik,Takahito,Marketing
d001,16891,Keirsey,Kristina,Marketing
d001,16899,Camarinopoulos,JiYoung,Marketing
d001,16917,Peron,Olivera,Marketing
d001,16927,Zaiane,Udaiprakash,Marketing
d001,16933,Pardalos,Lokesh,Marketing
d001,16949,Demeyer,Marla,Marketing
d001,16954,Apsitis,Akhilish,Marketing
d001,16973,Thisen,Vidya,Marketing
d001,16980,Reinhard,Visit,Marketing
d001,16990,Schauser,TRUE,Marketing
d001,17019,Sadowsky,Masoud,Marketing
d001,17027,Birge,Quingbo,Marketing
d001,17030,Ramsey,Uzi,Marketing
d001,17075,Speel,Nikolaos,Marketing
d001,17079,Wrigley,Boaz,Marketing
d001,17131,Gerlach,Yunming,Marketing
d001,17149,Griswold,Leen,Marketing
d001,17157,Ghandeharizadeh,Kristian,Marketing
d001,17176,Birsak,Niteen,Marketing
d001,17194,Bednarek,Valeri,Marketing
d001,17213,Miake,Francoise,Marketing
d001,17221,Yemenis,Marc,Marketing
d001,17243,Demke,Ishfaq,Marketing
d001,17290,DuCasse,Tsz,Marketing
d001,17292,Maccarone,Gunilla,Marketing
d001,17321,Swist,Genta,Marketing
d001,17323,Muhling,Taiji,Marketing
d001,17327,Gihr,Yongmin,Marketing
d001,17351,Boissier,Zhigen,Marketing
d001,17387,Serra,Shir,Marketing
d001,17394,Marzano,Danae,Marketing
d001,17429,Ossenbruggen,Aris,Marketing
d001,17456,Taneja,Peer,Marketing
d001,17466,Peron,Yagil,Marketing
d001,17472,Verhoeff,Murthy,Marketing
d001,17485,Wynblatt,Kazuhiro,Marketing
d001,17495,Strandh,Jianhua,Marketing
d001,17524,Chenoweth,Mang,Marketing
d001,17529,Ramsey,Abdelkader,Marketing
d001,17532,Krone,Demin,Marketing
d001,17577,Bala,Barry,Marketing
d001,17597,Vidya,Sanjai,Marketing
d001,17607,Kawashima,Ayakannu,Marketing
d001,17628,Besselaar,Saeko,Marketing
d001,17653,Erva,Qingxiang,Marketing
d001,17662,Valtorta,Berry,Marketing
d001,17668,Simkin,Pohua,Marketing
d001,17683,Henders,Bernt,Marketing
d001,17721,Hertweck,Chiranjit,Marketing
d001,17725,Poulakidas,Parviz,Marketing
d001,17798,Suessmith,Guangming,Marketing
d001,17800,Brizzi,Tooru,Marketing
d001,17803,Parhami,Mikhail,Marketing
d001,17822,Maliniak,Elliott,Marketing
d001,17833,Lodder,Mayumi,Marketing
d001,17868,Salverda,Gaurav,Marketing
d001,17878,Lanphier,Gil,Marketing
d001,17893,Schlegelmilch,Randy,Marketing
d001,17930,Poulakidas,Chuanti,Marketing
d001,17952,Munawer,Gina,Marketing
d001,17954,Spelt,Zhigen,Marketing
d001,17981,Rande,Cordelia,Marketing
d001,17993,Rando,Khue,Marketing
d001,18010,Kropp,Aksel,Marketing
d001,18015,Munck,Zhaofang,Marketing
d001,18024,Casperson,Uzi,Marketing
d001,18025,Porenta,Mitchel,Marketing
d001,18031,Munke,Denis,Marketing
d001,18060,Goldhammer,Moto,Marketing
d001,18079,Ecklund,Takahito,Marketing
d001,18090,Stemann,Eberhardt,Marketing
d001,18091,Ferretti,Adly,Marketing
d001,18125,Poehlman,Aron,Marketing
d001,18169,Radwan,Nathalie,Marketing
d001,18200,Peak,Alejandra,Marketing
d001,18205,Barreiro,Stabislas,Marketing
d001,18214,Peha,Zine,Marketing
d001,18221,Peng,Zongyan,Marketing
d001,18271,Keohane,Phule,Marketing
d001,18275,Raney,Vishu,Marketing
d001,18294,Hofman,Conor,Marketing
d001,18314,Erol,Arunas,Marketing
d001,18338,Bellone,Niteen,Marketing
d001,18354,Conia,Mostafa,Marketing
d001,18359,Szilard,Udo,Marketing
d001,18374,Landherr,Falguni,Marketing
d001,18383,Muhling,Oddvar,Marketing
d001,18384,Gustavson,Stamatina,Marketing
d001,18398,Etalle,Xiaoqiu,Marketing
d001,18426,Denos,Zhiguo,Marketing
d001,18463,Chenney,Inderjeet,Marketing
d001,18471,Birke,Sastry,Marketing
d001,18474,Pelc,Temple,Marketing
d001,18491,Junet,Keung,Marketing
d001,18494,Chepyzhov,Marlo,Marketing
d001,18514,Wielonsky,Khalil,Marketing
d001,18516,Pauthner,Jenwei,Marketing
d001,18555,Ossenbruggen,Utz,Marketing
d001,18575,Petersohn,Gadiel,Marketing
d001,18588,Narahara,Temple,Marketing
d001,18590,Laurillard,Vasiliy,Marketing
d001,18593,Sury,Leucio,Marketing
d001,18638,Schieder,Chaitali,Marketing
d001,18685,Fetvedt,Hilari,Marketing
d001,18697,Katalagarianos,Oddvar,Marketing
d001,18704,Siegrist,Conrado,Marketing
d001,18737,Kitsuregawa,Pranay,Marketing
d001,18739,Goodrum,Mohit,Marketing
d001,18750,Rodham,Suzette,Marketing
d001,18776,Desikan,Alper,Marketing
d001,18804,Sankaranarayanan,Heather,Marketing
d001,18824,Osgood,Divier,Marketing
d001,18848,Pagter,Yaghout,Marketing
d001,18856,Vendrig,Paddy,Marketing
d001,18898,Gide,Zhilian,Marketing
d001,18913,Kirkerud,Tze,Marketing
d001,18941,Gire,Billie,Marketing
d001,18943,Rando,Anneli,Marketing
d001,18950,Sessa,Percy,Marketing
d001,18956,Zizka,Muzhong,Marketing
d001,18963,Rehfuss,Ipke,Marketing
d001,18985,Nergos,Takahira,Marketing
d001,19013,Zultner,Katsuyuki,Marketing
d001,19052,Denna,Perla,Marketing
d001,19102,Matzen,Nikolaos,Marketing
d001,19119,Frijda,Siddarth,Marketing
d001,19138,Constantine,Xiadong,Marketing
d001,19154,Denna,Inderjeet,Marketing
d001,19171,Magliocco,Ziva,Marketing
d001,19196,Sury,Leucio,Marketing
d001,19197,Papsdorf,Licheng,Marketing
d001,19200,Serra,Shietung,Marketing
d001,19208,Gips,Martien,Marketing
d001,19220,Beidas,Khaled,Marketing
d001,19224,Erde,Elzbieta,Marketing
d001,19225,Openshaw,Roselyn,Marketing
d001,19239,Azevdeo,Karoline,Marketing
d001,19356,Prenel,Masato,Marketing
d001,19378,Pulkowski,Mrinalini,Marketing
d001,19386,Peltason,Leandro,Marketing
d001,19407,Murtafg,Jamaludin,Marketing
d001,19414,Kropatsch,Toong,Marketing
d001,19415,Genin,Angel,Marketing
d001,19428,Ghelli,Rosita,Marketing
d001,19438,Genther,Halsur,Marketing
d001,19464,Limongiello,Yannik,Marketing
d001,19473,Khalid,Venkatesan,Marketing
d001,19492,Hutton,Kwun,Marketing
d001,19500,Plessier,Shaowen,Marketing
d001,19507,Boissier,Eben,Marketing
d001,19511,Fujisaki,Jamaludin,Marketing
d001,19526,Barbanera,Florina,Marketing
d001,19563,Bergere,Heejo,Marketing
d001,19567,Adachi,Kazuhiro,Marketing
d001,19573,Lambe,Venkatesan,Marketing
d001,19584,Antonisse,Youjian,Marketing
d001,19585,Ernst,Goncalo,Marketing
d001,19600,Siochi,Brigham,Marketing
d001,19605,Azuma,Zhigen,Marketing
d001,19612,Erdmenger,Chenxi,Marketing
d001,19667,Matzel,Munenori,Marketing
d001,19672,McAlpine,Sham,Marketing
d001,19687,Picci,Abdelwaheb,Marketing
d001,19738,Sury,Giri,Marketing
d001,19770,Einsfeld,Fabrizio,Marketing
d001,19784,Casley,Zhenhua,Marketing
d001,19788,Birdsall,Shahid,Marketing
d001,19797,Merro,Kristen,Marketing
d001,19843,Peir,Mohamadou,Marketing
d001,19868,Godskesen,Jaihie,Marketing
d001,19873,Pietracaprina,Conrado,Marketing
d001,19879,Barvinok,Pascal,Marketing
d001,19886,Duclos,Bojan,Marketing
d001,19895,Perin,Zengping,Marketing
d001,19905,Jiang,Phule,Marketing
d001,19922,Meriste,Patricio,Marketing
d001,19930,Conia,Jianwen,Marketing
d001,19993,Gadepally,Tomofumi,Marketing
d001,19995,Schueller,Ziyad,Marketing
d001,20032,Socorro,Cheong,Marketing
d001,20044,Gist,Kiam,Marketing
d001,20061,Guting,Jiann,Marketing
d001,20088,Panienski,Hugh,Marketing
